set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
3,6,C12,130,nmr120,PD1074,aos140_gt_ms3,CDCl3,proton
3,6,D1,131,nmr121,UGT49,aos166_ga_ms2,CDCl3,proton
3,6,D2,132,nmr122,PD1074,aos167_ga_ms4,CDCl3,proton
3,6,D3,133,nmr123,AUM2073,aos169_ga_ms2,CDCl3,proton
3,6,D4,134,nmr124,RB2055,aos197_ga_ms1,CDCl3,proton
3,6,D5,135,nmr125,PD1074,aos196_ga_ms3,CDCl3,proton
3,6,D6,136,nmr126,UGT60,aos193_ga_ms2,CDCl3,proton
3,6,D7,137,nmr127,PD1074,aos198_ga_ms2,CDCl3,proton
3,6,D8,138,nmr128,UGT49,aos88_ga_ms2,CDCl3,proton
3,6,D9,139,nmr129,VC2524,aos94_ga_ms2,CDCl3,proton
3,6,D10,140,nmr130,VC2524,aos85_ga_ms2,CDCl3,proton
3,6,D11,141,nmr131,PD1074,aos99_ga_ms2,CDCl3,proton
3,6,D12,142,pooled_mutant,pooled_mutant,pooled_mutant,CDCl3,proton
3,6,E1,143,pooled_pd1074,pooled_pd1074,pooled_pd1074,CDCl3,proton
3,6,E2,144,nmr110,solera,solera,CDCl3,proton
3,6,E3,145,nmr109,extraction_blank_cdcl3,extraction_blank_cdcl3,CDCl3,proton
3,6,E4,146,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
