UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_4060,1070,C13H18N4O3S3,[M - H]-,C13H18N4O3S3,0.381407035,1.927978978,1.927978978,0,3,0.12200756,-4.141797204,4.141797204,-0.876523193,373.0465,150.88,688_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime150.88scanNumNApre,688,5
met_4064,13,C43H76NO8P,[M - H]-,C43H76NO8P,1,73.65502159,73.65502159,0,52,0.987798186,-3.914028606,3.914028606,0.028030646,764.5236,277.92,458_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime277.92scanNumNApre,458,4
met_409,1173,C51H73N3O5,[M - H]-,C51H73N3O5,0.295979899,5.877837892,5.877837892,0,4,0.154829248,-2.395270342,2.395270342,2.422685286,806.5497,278.89,741_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime278.89scanNumNApre,741,2
met_4099,738,C42H81O10P,[M - H]-,C42H81O10P,0.833165829,10.67108928,10.67108928,0,6,0.519669371,-2.913267375,2.913267375,1.213370647,775.5504,319.51,524_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime319.51scanNumNApre,524,1
met_4150,1001,C47H85N3O9,[M - H]-,C47H85N3O9,0.466834171,8.351721992,8.351721992,0,6,0.395615866,0.286794014,2.262693048,4.427320162,834.625,375.49,947_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime375.49scanNumNApre,947,1
met_4152,1099,C53H81N3O4,[M - H]-,C53H81N3O4,0.350753769,1,1,0,1,0,NaN,NaN,-0.403128887,822.6151,418.69,863_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime418.69scanNumNApre,863,2
met_4189,430,C20H42NO8P,[M - H]-,C20H42NO8P,0.99798995,4.040698396,4.040698396,0,3,0.190806223,-4.624389307,4.624389307,1.700614145,454.2583,68.53,1183_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime68.53scanNumNAprec,1183,1
met_4262,401,C18H30O3,[M - H]-,C18H30O3,0.998994975,13.43365309,13.43365309,0,3,0.113087675,-1.850671012,1.850671012,-1.426845405,293.2118,97.8,266_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime97.8scanNumNAprecM,266,4
met_43,238,C43H87N2O8P,[M - H]-,C43H87N2O8P,1,13.99602508,13.99602508,0,5,0.852007528,-5.011857307,5.011857307,1.737656522,789.6141,306.67,613_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime306.67scanNumNApre,613,3
met_44,564,C52H80O6,[M - H]-,C52H80O6,0.98040201,6,6,0,1,0,NaN,NaN,-0.517551555,799.5878,330.8,692_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime330.8scanNumNAprec,692,2
met_444,248,C44H80NO7P,[M - H]-,C44H80NO7P,1,13.26459981,13.26459981,0,7,0.762074012,-3.411268267,3.411268267,2.008892798,764.5615,352.77,459_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime352.77scanNumNApre,459,3
met_445,48,C42H82NO10P,[M - H]-,C42H82NO10P,1,45.77053598,45.77053598,0,9,0.620612813,-2.087942025,2.691223548,2.077001033,790.562,267.62,622_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime267.62scanNumNApre,622,4
met_511,659,C31H52N5O7P,[M - H]-,C31H52N5O7P,0.935175879,21.70857512,21.70857512,0,6,0.304681504,-2.570695036,2.570695036,-1.978750923,636.3519,129.78,2205_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime129.78scanNumNApre,2205,2
met_667,113,C44H84NO12P,[M - H]-,C44H84NO12P,1,30.81535235,30.81535235,0,16,0.824833193,-3.487047703,3.487047703,-0.515347326,848.5654,176.46,1054_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime176.46scanNumNApre,1054,3
met_672,1046,C44H63N5O3,[M - H]-,C44H63N5O3,0.423115578,1,1,0,1,0,NaN,NaN,1.391100146,708.4868,184.91,168_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime184.91scanNumNApre,168,1
met_72,22,C7H14N2O3,[M - H]-,C7H14N2O3,1,64.93520185,64.93520185,0,13,0.818187318,-4.848281069,4.848281069,-0.958189583,173.093,44.97,77_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime44.97scanNumNAprec,77,1
